playlist_id,playlist_name,playlist_uri,playlist_owner,track_id,track_name,track_uri,track_artists,album_id,album_name,album_uri,album_release_date,duration_ms,explicit,track_number,disc_number,added_at,tempo,danceability,acousticness
2FSRgq1WWXDHm3q1bb5GTw,"""Alle kauen, keiner isst"" - TECHNO / Tech-House / Deep-House / Minimal / Zenon",spotify:playlist:2FSRgq1WWXDHm3q1bb5GTw,1132498085,4fHHSFn4eB1cxseLlNNzS9,Do You?,spotify:track:4fHHSFn4eB1cxseLlNNzS9,Golden Features,4q7ypBFqg35EiCWDbXsK8C,XXIV,spotify:album:4q7ypBFqg35EiCWDbXsK8C,2015-06-19,297903,False,4,1,2015-08-14T13:19:21Z,124,80,3
2FSRgq1WWXDHm3q1bb5GTw,"""Alle kauen, keiner isst"" - TECHNO / Tech-House / Deep-House / Minimal / Zenon",spotify:playlist:2FSRgq1WWXDHm3q1bb5GTw,1132498085,5vIHGNhS9AH1aTiRgsHSna,Soopertrack,spotify:track:5vIHGNhS9AH1aTiRgsHSna,Extrawelt,4NYblXdZWpWlsqrJFLTDs2,Soopertrack,spotify:album:4NYblXdZWpWlsqrJFLTDs2,2005-06-13,479720,False,1,1,2014-01-16T09:46:46Z,,,
2FSRgq1WWXDHm3q1bb5GTw,"""Alle kauen, keiner isst"" - TECHNO / Tech-House / Deep-House / Minimal / Zenon",spotify:playlist:2FSRgq1WWXDHm3q1bb5GTw,1132498085,1kDqntrhTIOeFyuQAJfTs0,Serenity,spotify:track:1kDqntrhTIOeFyuQAJfTs0,Popof,3ONfRjgCmbdzVo7m1Yh6C2,Serenity,spotify:album:3ONfRjgCmbdzVo7m1Yh6C2,2009-03-23,428976,False,1,1,2015-10-19T12:37:00Z,181,41,56
2FSRgq1WWXDHm3q1bb5GTw,"""Alle kauen, keiner isst"" - TECHNO / Tech-House / Deep-House / Minimal / Zenon",spotify:playlist:2FSRgq1WWXDHm3q1bb5GTw,1132498085,7kL1QIL8PVUMdEKgVL8LXR,Die Milchstrasse,spotify:track:7kL1QIL8PVUMdEKgVL8LXR,Boris Brejcha,0Rn59Dhyby7M3apYSRXeCd,Die Milchstrasse,spotify:album:0Rn59Dhyby7M3apYSRXeCd,2007-11-06,430079,False,1,1,2014-07-10T14:54:10Z,,,
2FSRgq1WWXDHm3q1bb5GTw,"""Alle kauen, keiner isst"" - TECHNO / Tech-House / Deep-House / Minimal / Zenon",spotify:playlist:2FSRgq1WWXDHm3q1bb5GTw,1132498085,1vZUNx6tM531phelmsqLWU,Drehfehler,spotify:track:1vZUNx6tM531phelmsqLWU,Extrawelt,2ElC19PaPPqvtIcpsRS1pk,Fernweh,spotify:album:2ElC19PaPPqvtIcpsRS1pk,2009-12-21,440986,False,2,1,2014-07-10T15:28:06Z,,,
2FSRgq1WWXDHm3q1bb5GTw,"""Alle kauen, keiner isst"" - TECHNO / Tech-House / Deep-House / Minimal / Zenon",spotify:playlist:2FSRgq1WWXDHm3q1bb5GTw,1132498085,74ErPSzxOFm2aVJFvLPovB,Tranquilizer,spotify:track:74ErPSzxOFm2aVJFvLPovB,Oliver Huntemann,3AEMhoV6o5bmbD5pBI45kY,Paranoia,spotify:album:3AEMhoV6o5bmbD5pBI45kY,2011-11-02,438866,False,10,1,2015-08-20T10:07:51Z,127,63,2
2FSRgq1WWXDHm3q1bb5GTw,"""Alle kauen, keiner isst"" - TECHNO / Tech-House / Deep-House / Minimal / Zenon",spotify:playlist:2FSRgq1WWXDHm3q1bb5GTw,1132498085,7CpdKFGwR11bBIV9DhvgT5,Dark Side of My Room,spotify:track:7CpdKFGwR11bBIV9DhvgT5,Extrawelt,3K9zfNVYKGSCSd0vuSzdpT,Schöne Neue Extrawelt,spotify:album:3K9zfNVYKGSCSd0vuSzdpT,2008-10-24,458160,False,2,1,2014-10-09T15:46:11Z,123,86,15
2FSRgq1WWXDHm3q1bb5GTw,"""Alle kauen, keiner isst"" - TECHNO / Tech-House / Deep-House / Minimal / Zenon",spotify:playlist:2FSRgq1WWXDHm3q1bb5GTw,1132498085,4R67HF7g2slCp0p5yOH9v1,Arquipelago,spotify:track:4R67HF7g2slCp0p5yOH9v1,Gui Boratto,0U5S5YhWJJaWlUSGpZIlfp,The K2 Chapter,spotify:album:0U5S5YhWJJaWlUSGpZIlfp,2013-09-02,367418,False,1,1,2015-07-29T18:10:55Z,125,81,14
2FSRgq1WWXDHm3q1bb5GTw,"""Alle kauen, keiner isst"" - TECHNO / Tech-House / Deep-House / Minimal / Zenon",spotify:playlist:2FSRgq1WWXDHm3q1bb5GTw,1132498085,1zBbSOe2xX6zeBCSNntXrX,No One (feat. Thelma Plum),spotify:track:1zBbSOe2xX6zeBCSNntXrX,Golden Features | Thelma Plum,4q7ypBFqg35EiCWDbXsK8C,XXIV,spotify:album:4q7ypBFqg35EiCWDbXsK8C,2015-06-19,295056,False,2,1,2015-08-14T13:06:12Z,82,47,76
2FSRgq1WWXDHm3q1bb5GTw,"""Alle kauen, keiner isst"" - TECHNO / Tech-House / Deep-House / Minimal / Zenon",spotify:playlist:2FSRgq1WWXDHm3q1bb5GTw,1132498085,10ragCMzZ6JhrxykFYsqiz,Mischief,spotify:track:10ragCMzZ6JhrxykFYsqiz,Drauf & Dran,2L5Y8qk2KaCzFZZvxEdGgV,Colors,spotify:album:2L5Y8qk2KaCzFZZvxEdGgV,2013-05-21,427503,False,9,1,2014-07-18T11:22:11Z,80,63,73
2HiQP1SpGe3iJjbocoj3Oz,Reggae Roots,spotify:playlist:2HiQP1SpGe3iJjbocoj3Oz,federicovila,5iLpRDS6TNaIxh1zppyfEY,Rock Fort Rock,spotify:track:5iLpRDS6TNaIxh1zppyfEY,The Skatalites,09U02a0PnmQnAXSa121FVN,Ball Of Fire,spotify:album:09U02a0PnmQnAXSa121FVN,1997-01-01,420840,False,5,1,2018-09-11T17:41:23Z,167,61,15
2HiQP1SpGe3iJjbocoj3Oz,Reggae Roots,spotify:playlist:2HiQP1SpGe3iJjbocoj3Oz,federicovila,39CyGKIFqMzSuynOR8uilD,Baltimore,spotify:track:39CyGKIFqMzSuynOR8uilD,Nina Simone,4UjcMSiyv8QCiZ4O8gpzXS,Baltimore,spotify:album:4UjcMSiyv8QCiZ4O8gpzXS,1978,278866,False,1,1,2018-09-11T17:41:35Z,154,64,42
2HiQP1SpGe3iJjbocoj3Oz,Reggae Roots,spotify:playlist:2HiQP1SpGe3iJjbocoj3Oz,federicovila,4d3iXsAGs5E5CTIdwOaMVv,I Love Jah,spotify:track:4d3iXsAGs5E5CTIdwOaMVv,The Ethiopians,0NeMTpi8HYklmkTrgOlDS1,Stand and Give Praise: Roots Reggae,spotify:album:0NeMTpi8HYklmkTrgOlDS1,2010-01-01,187493,False,3,2,2018-09-11T16:51:56Z,133,82,27
2HiQP1SpGe3iJjbocoj3Oz,Reggae Roots,spotify:playlist:2HiQP1SpGe3iJjbocoj3Oz,federicovila,1WPZbcPtvzz0t6LHoJvqb8,Why Must I Cry,spotify:track:1WPZbcPtvzz0t6LHoJvqb8,Peter Tosh,7aXRSPsEDgXGxFGY235DYz,Legalize It,spotify:album:7aXRSPsEDgXGxFGY235DYz,1976,184666,False,5,1,2018-09-11T16:52:38Z,79,58,4
2HiQP1SpGe3iJjbocoj3Oz,Reggae Roots,spotify:playlist:2HiQP1SpGe3iJjbocoj3Oz,federicovila,5g1bPth0mBnYm5Iwx3RktO,Love Won't Come Easy,spotify:track:5g1bPth0mBnYm5Iwx3RktO,The Heptones,2RDIi7fDz2aCSQZ0R5D6gn,Night Food (Expanded Edition),spotify:album:2RDIi7fDz2aCSQZ0R5D6gn,1976-06-15,175026,False,7,1,2018-09-19T18:37:15Z,133,84,52
2HiQP1SpGe3iJjbocoj3Oz,Reggae Roots,spotify:playlist:2HiQP1SpGe3iJjbocoj3Oz,federicovila,2AfDvCR8szG6wJDO6mxqVT,You Made Me So Very Happy,spotify:track:2AfDvCR8szG6wJDO6mxqVT,Alton Ellis,2MocD24NCoqCSmf1EaaaQ0,Be True to Yourself: The Godfather of Lover's Rock (Anthology 1965-1973),spotify:album:2MocD24NCoqCSmf1EaaaQ0,2004-11-23,173440,False,2,2,2018-09-11T17:34:52Z,93,39,67
2HiQP1SpGe3iJjbocoj3Oz,Reggae Roots,spotify:playlist:2HiQP1SpGe3iJjbocoj3Oz,federicovila,3AGEHHqBOnAmQiJxxbasJu,The Loser,spotify:track:3AGEHHqBOnAmQiJxxbasJu,Derrick Harriott,3Q9nz0AiROFVdjAwNDpwhv,The Loser / Now We Know,spotify:album:3Q9nz0AiROFVdjAwNDpwhv,2012,218653,False,1,1,2018-09-11T18:04:05Z,87,73,21
2HiQP1SpGe3iJjbocoj3Oz,Reggae Roots,spotify:playlist:2HiQP1SpGe3iJjbocoj3Oz,federicovila,6MmMegQ59nCAHxFpEf7MZ5,I'm Still In Love,spotify:track:6MmMegQ59nCAHxFpEf7MZ5,Alton Ellis,0xG9HvcyVEX4UT1itIaimP,Legend,spotify:album:0xG9HvcyVEX4UT1itIaimP,2009,268080,False,14,1,2018-09-11T18:07:32Z,86,71,45
2HiQP1SpGe3iJjbocoj3Oz,Reggae Roots,spotify:playlist:2HiQP1SpGe3iJjbocoj3Oz,federicovila,1z0We51LrOGniEJVk9Aid9,Love Me Forever,spotify:track:1z0We51LrOGniEJVk9Aid9,Carlton & The Shoes,0EYwBETY5u7V1VpzUmqyLu,Love Me Forever,spotify:album:0EYwBETY5u7V1VpzUmqyLu,1968,220066,False,2,1,2018-09-11T19:13:45Z,154,67,4
2HiQP1SpGe3iJjbocoj3Oz,Reggae Roots,spotify:playlist:2HiQP1SpGe3iJjbocoj3Oz,federicovila,2tcuauvBQMH3a4B2Jug5sm,What Does It Take (To Win Your Love),spotify:track:2tcuauvBQMH3a4B2Jug5sm,Alton Ellis,2MocD24NCoqCSmf1EaaaQ0,Be True to Yourself: The Godfather of Lover's Rock (Anthology 1965-1973),spotify:album:2MocD24NCoqCSmf1EaaaQ0,2004-11-23,199560,False,1,2,2018-09-11T19:24:05Z,116,81,9
2HjK6MsXl7JhauHtSL0CKP, Drones,spotify:playlist:2HjK6MsXl7JhauHtSL0CKP,gemm2010,3ugUwXpN8qBDTDrRzlkjjM,Prelude 12/21,spotify:track:3ugUwXpN8qBDTDrRzlkjjM,AFI,58M3z3OMcaFtWbPJS5Bb0W,DECEMBERUNDERGROUND,spotify:album:58M3z3OMcaFtWbPJS5Bb0W,2006-01-01,94466,False,1,1,2016-06-04T17:23:13Z,75,68,8
2HjK6MsXl7JhauHtSL0CKP, Drones,spotify:playlist:2HjK6MsXl7JhauHtSL0CKP,gemm2010,4FnAEvbT3mjxpkUKpGwXYM,Defector,spotify:track:4FnAEvbT3mjxpkUKpGwXYM,Muse,2wart5Qjnvx1fd7LPdQxgJ,Drones,spotify:album:2wart5Qjnvx1fd7LPdQxgJ,2015-06-04,273004,False,8,1,2016-06-04T17:22:04Z,76,42,1
2HjK6MsXl7JhauHtSL0CKP, Drones,spotify:playlist:2HjK6MsXl7JhauHtSL0CKP,gemm2010,7BGg9wSF98j6FzvHGkq3f0,Revolt,spotify:track:7BGg9wSF98j6FzvHGkq3f0,Muse,2wart5Qjnvx1fd7LPdQxgJ,Drones,spotify:album:2wart5Qjnvx1fd7LPdQxgJ,2015-06-04,245710,False,9,1,2016-06-04T17:22:04Z,124,23,1
2HjK6MsXl7JhauHtSL0CKP, Drones,spotify:playlist:2HjK6MsXl7JhauHtSL0CKP,gemm2010,2z1D4PqjWYEsXeXxE6euQ2,Aftermath,spotify:track:2z1D4PqjWYEsXeXxE6euQ2,Muse,2wart5Qjnvx1fd7LPdQxgJ,Drones,spotify:album:2wart5Qjnvx1fd7LPdQxgJ,2015-06-04,347997,False,10,1,2016-06-04T17:22:04Z,72,30,22
2HjK6MsXl7JhauHtSL0CKP, Drones,spotify:playlist:2HjK6MsXl7JhauHtSL0CKP,gemm2010,0oDZeHlximkFyBB8BmZ3ga,Blood on My Name,spotify:track:0oDZeHlximkFyBB8BmZ3ga,The Brothers Bright,1XZeMNUBEyK2UgrxHBvcOr,A Song Treasury,spotify:album:1XZeMNUBEyK2UgrxHBvcOr,2012-01-14,260630,False,10,1,2016-06-04T17:23:50Z,113,57,11
2HjK6MsXl7JhauHtSL0CKP, Drones,spotify:playlist:2HjK6MsXl7JhauHtSL0CKP,gemm2010,6BGxbBw5J314z6BDxbEanm,The Globalist,spotify:track:6BGxbBw5J314z6BDxbEanm,Muse,2wart5Qjnvx1fd7LPdQxgJ,Drones,spotify:album:2wart5Qjnvx1fd7LPdQxgJ,2015-06-04,607282,False,11,1,2016-06-04T17:22:04Z,120,27,41
2HjK6MsXl7JhauHtSL0CKP, Drones,spotify:playlist:2HjK6MsXl7JhauHtSL0CKP,gemm2010,0UCgAa53mSf82ANT02hZ1m,This Old Death,spotify:track:0UCgAa53mSf82ANT02hZ1m,Ben Nichols,13OkOMXSrWYIbw6scZSzif,"The Walking Dead: AMC Original Soundtrack, Vol. 2",spotify:album:13OkOMXSrWYIbw6scZSzif,2014-01-01,203213,False,5,1,2016-06-04T17:22:46Z,127,65,87
2HjK6MsXl7JhauHtSL0CKP, Drones,spotify:playlist:2HjK6MsXl7JhauHtSL0CKP,gemm2010,7ozZ7fWUC8mmwK8hqmzk0i,The Shame,spotify:track:7ozZ7fWUC8mmwK8hqmzk0i,Alex Cornish,57qYOMUi8TLKQJwY9BuADm,Call Back,spotify:album:57qYOMUi8TLKQJwY9BuADm,2009-04-01,246133,False,6,1,2016-06-04T17:23:26Z,116,35,1
2HjK6MsXl7JhauHtSL0CKP, Drones,spotify:playlist:2HjK6MsXl7JhauHtSL0CKP,gemm2010,2aNHMMpclCTUBeFRzHmHBy,Black Eunuch,spotify:track:2aNHMMpclCTUBeFRzHmHBy,Algiers,24hXu3nSvxjwfYbbJIG3U0,Algiers,spotify:album:24hXu3nSvxjwfYbbJIG3U0,2015-06-01,219266,False,8,1,2016-06-04T17:23:37Z,142,59,7
2HjK6MsXl7JhauHtSL0CKP, Drones,spotify:playlist:2HjK6MsXl7JhauHtSL0CKP,gemm2010,3TnGabS1ylWPNOTa2kJBDn,The Devil Within,spotify:track:3TnGabS1ylWPNOTa2kJBDn,Digital Daggers,3ctMrsnfREdBGDHotajs9t,Close Your Eyes,spotify:album:3ctMrsnfREdBGDHotajs9t,2013-06-11,230309,False,1,1,2016-06-04T17:24:09Z,154,36,1
2hK42ZST8Qx54ZzbmB5Iep,eurodance,spotify:playlist:2hK42ZST8Qx54ZzbmB5Iep,1152034319,5Y3W09WHcXPx7eZ7s9gdMs,Be My Lover,spotify:track:5Y3W09WHcXPx7eZ7s9gdMs,La Bouche,7hP1XPeFjOYTM2xgruJZyo,Greatest Hits,spotify:album:7hP1XPeFjOYTM2xgruJZyo,2007,240866,False,2,1,2012-10-30T18:26:26Z,136,66,1
2hK42ZST8Qx54ZzbmB5Iep,eurodance,spotify:playlist:2hK42ZST8Qx54ZzbmB5Iep,1152034319,1ohbjkuczl6hEoYEo931PH,Sing Hallelujah!,spotify:track:1ohbjkuczl6hEoYEo931PH,Dr. Alban,5YPI9qfm2uuMxlq4CEUOFu,One Love (2nd Edition),spotify:album:5YPI9qfm2uuMxlq4CEUOFu,1992-05-04,240933,False,4,1,2012-10-30T18:31:54Z,124,76,1
2hK42ZST8Qx54ZzbmB5Iep,eurodance,spotify:playlist:2hK42ZST8Qx54ZzbmB5Iep,1152034319,6x0dv3oTqCeK4gaXo5QMam,"What Is Love - 12"" Mix",spotify:track:6x0dv3oTqCeK4gaXo5QMam,Haddaway,2a2Azn0XPTksa3jrBHDFCE,What Is Love,spotify:album:2a2Azn0XPTksa3jrBHDFCE,1992-01-18,402240,False,2,1,2012-10-30T18:28:07Z,123,69,3
2hK42ZST8Qx54ZzbmB5Iep,eurodance,spotify:playlist:2hK42ZST8Qx54ZzbmB5Iep,1152034319,0JcNVnY8njNEI0L5s5quQZ,Soirée disco,spotify:track:0JcNVnY8njNEI0L5s5quQZ,Boris,7DwXNxwDQ3u3QOjl0u5w6B,Boris,spotify:album:7DwXNxwDQ3u3QOjl0u5w6B,1995-09-01,223826,False,3,1,2012-10-30T18:34:05Z,139,80,4
2hK42ZST8Qx54ZzbmB5Iep,eurodance,spotify:playlist:2hK42ZST8Qx54ZzbmB5Iep,1152034319,53e1hoGmOL01K7Sa4WvLhu,Crying at the Discoteque - Radio Edit,spotify:track:53e1hoGmOL01K7Sa4WvLhu,Alcazar,4iRt5STyQudfgvq3Gt2ki6,50 Summer Hits,spotify:album:4iRt5STyQudfgvq3Gt2ki6,2009-06-11,230840,False,2,1,2012-10-30T22:18:25Z,138,71,8
2hK42ZST8Qx54ZzbmB5Iep,eurodance,spotify:playlist:2hK42ZST8Qx54ZzbmB5Iep,1152034319,5rDsAMjmB4Qa5WNciJPsfK,Tubthumping,spotify:track:5rDsAMjmB4Qa5WNciJPsfK,Chumbawamba,6DUy5QdkKXI15NFbk3pYAZ,Playlist: 90s Pop,spotify:album:6DUy5QdkKXI15NFbk3pYAZ,2008-04-28,234133,False,19,1,2012-10-30T22:24:52Z,103,61,12
2hK42ZST8Qx54ZzbmB5Iep,eurodance,spotify:playlist:2hK42ZST8Qx54ZzbmB5Iep,1152034319,3L9RIFcNF9IDGPRE96EO7N,The Rhythm of the Night,spotify:track:3L9RIFcNF9IDGPRE96EO7N,Corona,385wsbH2dVjZDB9rdVOHUH,Disco 90's,spotify:album:385wsbH2dVjZDB9rdVOHUH,2008-03-16,264280,False,4,1,2012-10-30T22:28:31Z,123,69,1
2hK42ZST8Qx54ZzbmB5Iep,eurodance,spotify:playlist:2hK42ZST8Qx54ZzbmB5Iep,1152034319,2L5FEDC0MU2a6OEkLjByEd,Captain Jack - Short Mix,spotify:track:2L5FEDC0MU2a6OEkLjByEd,Captain Jack,6Szz8TwnGxRpFwu1s4v5OB,The Mission,spotify:album:6Szz8TwnGxRpFwu1s4v5OB,1996-04-24,248533,False,3,1,2012-10-30T22:35:57Z,152,67,8
2hK42ZST8Qx54ZzbmB5Iep,eurodance,spotify:playlist:2hK42ZST8Qx54ZzbmB5Iep,1152034319,0mrU1w2UMIZnR2I6oguwGz,Keep On Movin',spotify:track:0mrU1w2UMIZnR2I6oguwGz,Five | Steve Mac,72qAXkZ8keSUHe55hhEVQG,Invincible,spotify:album:72qAXkZ8keSUHe55hhEVQG,1999-11-08,197400,False,2,1,2012-10-30T22:36:39Z,135,75,4
2hK42ZST8Qx54ZzbmB5Iep,eurodance,spotify:playlist:2hK42ZST8Qx54ZzbmB5Iep,1152034319,0q4xWbV08szzUpGPhVsrcD,Kids In America,spotify:track:0q4xWbV08szzUpGPhVsrcD,Kim Wilde,0W8AprzSATgTr5urju5yYz,The Very Best Of Kim Wilde,spotify:album:0W8AprzSATgTr5urju5yYz,2001,204480,False,1,1,2012-10-31T22:48:12Z,161,57,8
2hkT40zTneeoH5gAyPkomQ,Kartick Kumar – Om Ecstacy & Symphony : A 10 Sitar Concerto Vol. 1 ( Live ),spotify:playlist:2hkT40zTneeoH5gAyPkomQ,puppetsandpasteboards,2Kbn5FRJoDTsnuhgzzbrOV,Om And Guru Vandana - Live,spotify:track:2Kbn5FRJoDTsnuhgzzbrOV,Kartick Kumar,6XNagKa3vQBjamNZNT0ebx,Om Ecstacy & Symphony : A 10 Sitar Concerto Vol. 1 ( Live ),spotify:album:6XNagKa3vQBjamNZNT0ebx,1986,181266,False,1,1,2018-08-07T00:27:54Z,,,
2hkT40zTneeoH5gAyPkomQ,Kartick Kumar – Om Ecstacy & Symphony : A 10 Sitar Concerto Vol. 1 ( Live ),spotify:playlist:2hkT40zTneeoH5gAyPkomQ,puppetsandpasteboards,05rlQCC60K3iTFny1EU1aA,Dhrupad - Raga Kamod - Live,spotify:track:05rlQCC60K3iTFny1EU1aA,Kartick Kumar,6XNagKa3vQBjamNZNT0ebx,Om Ecstacy & Symphony : A 10 Sitar Concerto Vol. 1 ( Live ),spotify:album:6XNagKa3vQBjamNZNT0ebx,1986,508026,False,2,1,2018-08-07T00:27:54Z,150,32,95
2hkT40zTneeoH5gAyPkomQ,Kartick Kumar – Om Ecstacy & Symphony : A 10 Sitar Concerto Vol. 1 ( Live ),spotify:playlist:2hkT40zTneeoH5gAyPkomQ,puppetsandpasteboards,5SRFhBoLI9xsLNloobYLLK,Dhamaar - Raga Nand - Live,spotify:track:5SRFhBoLI9xsLNloobYLLK,Kartick Kumar,6XNagKa3vQBjamNZNT0ebx,Om Ecstacy & Symphony : A 10 Sitar Concerto Vol. 1 ( Live ),spotify:album:6XNagKa3vQBjamNZNT0ebx,1986,413133,False,3,1,2018-08-07T00:27:54Z,,,
2hkT40zTneeoH5gAyPkomQ,Kartick Kumar – Om Ecstacy & Symphony : A 10 Sitar Concerto Vol. 1 ( Live ),spotify:playlist:2hkT40zTneeoH5gAyPkomQ,puppetsandpasteboards,6oSMVyJI4jqykccz9BTQ4j,Bhajan - Live,spotify:track:6oSMVyJI4jqykccz9BTQ4j,Kartick Kumar,6XNagKa3vQBjamNZNT0ebx,Om Ecstacy & Symphony : A 10 Sitar Concerto Vol. 1 ( Live ),spotify:album:6XNagKa3vQBjamNZNT0ebx,1986,362426,False,5,1,2018-08-07T00:27:54Z,119,20,73
2hkT40zTneeoH5gAyPkomQ,Kartick Kumar – Om Ecstacy & Symphony : A 10 Sitar Concerto Vol. 1 ( Live ),spotify:playlist:2hkT40zTneeoH5gAyPkomQ,puppetsandpasteboards,6N7gPTru90HYLRUIVDQ185,More Than This,spotify:track:6N7gPTru90HYLRUIVDQ185,Roxy Music,3JXODSjT9mUz2lIb4YIErw,Avalon,spotify:album:3JXODSjT9mUz2lIb4YIErw,1982-05-01,270651,False,1,1,2018-09-10T22:45:43Z,129,66,6
2HLM6zdRCU8cO2gnmsGRq4,sar's sketches,spotify:playlist:2HLM6zdRCU8cO2gnmsGRq4,awiercik,0GkuKdv0osuL9QhfnXqVNP,Wake,spotify:track:0GkuKdv0osuL9QhfnXqVNP,Linkin Park,2tlTBLz2w52rpGCLBGyGw6,Minutes to Midnight,spotify:album:2tlTBLz2w52rpGCLBGyGw6,2007-05-14,100920,False,1,1,2018-08-18T21:22:36Z,125,31,7
2HLM6zdRCU8cO2gnmsGRq4,sar's sketches,spotify:playlist:2HLM6zdRCU8cO2gnmsGRq4,awiercik,1TqmZVIyeD4aN4Wa0wbnfy,Pure Morning,spotify:track:1TqmZVIyeD4aN4Wa0wbnfy,Placebo,2cDDG5rnwEgjNL8Q0cO9Zd,Without You I'm Nothing,spotify:album:2cDDG5rnwEgjNL8Q0cO9Zd,1998-10-12,254760,False,1,1,2018-03-28T21:00:05Z,81,39,4
2HLM6zdRCU8cO2gnmsGRq4,sar's sketches,spotify:playlist:2HLM6zdRCU8cO2gnmsGRq4,awiercik,6mcxQ1Y3uQRU0IHsvdNLH1,Where Is My Mind?,spotify:track:6mcxQ1Y3uQRU0IHsvdNLH1,Pixies,2l7RPWC3E6eStJJLBsUeCI,Surfer Rosa (Remastered),spotify:album:2l7RPWC3E6eStJJLBsUeCI,1988,236973,False,7,1,2018-03-28T21:34:38Z,162,51,2
2HLM6zdRCU8cO2gnmsGRq4,sar's sketches,spotify:playlist:2HLM6zdRCU8cO2gnmsGRq4,awiercik,3lPr8ghNDBLc2uZovNyLs9,Supermassive Black Hole,spotify:track:3lPr8ghNDBLc2uZovNyLs9,Muse,0lw68yx3MhKflWFqCsGkIs,Black Holes and Revelations,spotify:album:0lw68yx3MhKflWFqCsGkIs,2006-06-28,212439,False,3,1,2018-03-28T21:17:43Z,117,67,5
2HLM6zdRCU8cO2gnmsGRq4,sar's sketches,spotify:playlist:2HLM6zdRCU8cO2gnmsGRq4,awiercik,0R119j0QqFASf4OkIxzBrt,All Goes Wrong,spotify:track:0R119j0QqFASf4OkIxzBrt,Chase & Status | Tom Grennan,17Vuna2GN1VDRGdQqx4RZe,Tribe,spotify:album:17Vuna2GN1VDRGdQqx4RZe,2017-08-18,205253,False,6,1,2018-03-28T21:27:17Z,174,46,4
2HLM6zdRCU8cO2gnmsGRq4,sar's sketches,spotify:playlist:2HLM6zdRCU8cO2gnmsGRq4,awiercik,2h0HkReHGCQPOEDZXEMcTO,Special Needs,spotify:track:2h0HkReHGCQPOEDZXEMcTO,Placebo,4fUDor6o5gw0b18iYKEaRq,Sleeping With Ghosts,spotify:album:4fUDor6o5gw0b18iYKEaRq,2003-03-24,315986,False,8,1,2018-03-28T21:33:24Z,89,31,1
2HLM6zdRCU8cO2gnmsGRq4,sar's sketches,spotify:playlist:2HLM6zdRCU8cO2gnmsGRq4,awiercik,1j21bKbHLoNaVWHZykBcDD,Enjoy the Silence,spotify:track:1j21bKbHLoNaVWHZykBcDD,Ki:Theory,2ebMxOVmA8iHaCdpV2FSoL,Ghost in the Shell (Music Inspired by the Motion Picture),spotify:album:2ebMxOVmA8iHaCdpV2FSoL,2017-03-31,257955,False,8,1,2018-03-28T21:23:47Z,150,39,4
2HLM6zdRCU8cO2gnmsGRq4,sar's sketches,spotify:playlist:2HLM6zdRCU8cO2gnmsGRq4,awiercik,3WBPiogtVDBSXK7uOpxJ6m,The Bitter End,spotify:track:3WBPiogtVDBSXK7uOpxJ6m,Placebo,4fUDor6o5gw0b18iYKEaRq,Sleeping With Ghosts,spotify:album:4fUDor6o5gw0b18iYKEaRq,2003-03-24,190573,False,5,1,2018-03-28T21:09:51Z,186,33,1
2HLM6zdRCU8cO2gnmsGRq4,sar's sketches,spotify:playlist:2HLM6zdRCU8cO2gnmsGRq4,awiercik,3tRv4ZYZimrL27flnjgeR6,Every You Every Me,spotify:track:3tRv4ZYZimrL27flnjgeR6,Placebo,2cDDG5rnwEgjNL8Q0cO9Zd,Without You I'm Nothing,spotify:album:2cDDG5rnwEgjNL8Q0cO9Zd,1998-10-12,213800,False,8,1,2018-03-28T20:59:04Z,133,48,1
2HLM6zdRCU8cO2gnmsGRq4,sar's sketches,spotify:playlist:2HLM6zdRCU8cO2gnmsGRq4,awiercik,383QXk8nb2YrARMUwDdjQS,Psycho,spotify:track:383QXk8nb2YrARMUwDdjQS,Muse,2wart5Qjnvx1fd7LPdQxgJ,Drones,spotify:album:2wart5Qjnvx1fd7LPdQxgJ,2015-06-04,316717,True,3,1,2018-03-28T21:59:41Z,61,56,1
2hMdsnMyapBTtX9XHIktwa,TesseracT,spotify:playlist:2hMdsnMyapBTtX9XHIktwa,1297627661,51X8SlNSoOcI373rAHWmzC,Natural Disaster,spotify:track:51X8SlNSoOcI373rAHWmzC,TesseracT,2w6DV9mIOPHldiUheAN2RD,War Of Being,spotify:album:2w6DV9mIOPHldiUheAN2RD,2023-09-15,366428,False,1,1,2023-09-18T18:57:13Z,124,75,2
2hMdsnMyapBTtX9XHIktwa,TesseracT,spotify:playlist:2hMdsnMyapBTtX9XHIktwa,1297627661,316RP6NdKalNsslzD3LRhl,Echoes,spotify:track:316RP6NdKalNsslzD3LRhl,TesseracT,2w6DV9mIOPHldiUheAN2RD,War Of Being,spotify:album:2w6DV9mIOPHldiUheAN2RD,2023-09-15,346540,False,2,1,2023-09-18T18:57:13Z,100,37,1
2hMdsnMyapBTtX9XHIktwa,TesseracT,spotify:playlist:2hMdsnMyapBTtX9XHIktwa,1297627661,4SclJtfYGNmBAzMky2Sril,The Grey,spotify:track:4SclJtfYGNmBAzMky2Sril,TesseracT,2w6DV9mIOPHldiUheAN2RD,War Of Being,spotify:album:2w6DV9mIOPHldiUheAN2RD,2023-09-15,367030,False,3,1,2023-09-18T18:57:13Z,130,53,95
